Antonio Brown (1)	PIT/9	1.3	-0.0142857142857143	9/11/15	9.3	2.5	-0.2	94%
Julio Jones (1)	ATL/5	1.6	-0.128571428571429	7/8/13	7.8	1.1	-0.1	89%
Odell Beckham (1)	NYG/8	1.5	-0.0214285714285714	8/11/15	7.4	1.2	-0.1	84%
Jordy Nelson (1)	GB/8	1.11	-0.0214285714285715	8/13/15	6.7	0.8	0.1	80%
Mike Evans (1)	TB/11	1.9	-0.171428571428571	8/9/15	6.5	0.9	-0.0	76%
AJ Green (1)	CIN/6	1.9	-0.0499999999999999	3/7/10	6.1	0.7	0.1	72%
Michael Thomas (1)	NO/5	2.3	-0.25	5/8/14	5.5	0.8	0.2	68%
TY Hilton (1)	IND/11	2.4	-0.142857142857143	6/8/15	5.1	0.7	0.0	65%
Dez Bryant (1)	DAL/6	2.4	0.192857142857143	5/8/12	4.7	0.8	0.3	62%
Amari Cooper (1)	OAK/10	2.6	-0.15	4/6/15	4.6	0.7	-0.4	59%
Doug Baldwin (1)	SEA/6	2.7	0.228571428571429	5/6/15	4.4	0.8	-0.1	56%
DeAndre Hopkins (1)	HOU/7	2.13	-0.128571428571429	1/6/15	4.1	0.9	0.0	53%
Demaryius Thomas (1)	DEN/5	3.1	-0.042857142857143	4/7/15	3.8	1.4	-0.1	51%
Allen Robinson (1)	JAX/8	3.4	0.271428571428571	4/5/15	3.7	0.7	-0.2	48%
Brandin Cooks (1)	NE/9	3.1	-0.142857142857143	4/8/14	3.6	0.7	-0.0	46%
Michael Crabtree (2)	OAK/10	4.1	0.00714285714285724	4/10/15	3.5	0.7	0.2	44%
Golden Tate (1)	DET/7	4.4	-0.042857142857143	4/5/15	3.3	0.4	-0.2	42%
Alshon Jeffery (1)	PHI/10	3.9	0.0285714285714285	1/4/11	3.3	0.5	-0.2	40%
Keenan Allen (1)	LAC/9	3.9	-0.507142857142857	0/0/1	3.3	0.9	-0.1	37%
Larry Fitzgerald (1)	ARI/8	4.6	0.128571428571428	4/7/15	3.3	0.6	0.1	35%
Jarvis Landry (1)	MIA/11	4.11	-0.828571428571429	4/7/15	3.2	0.7	-0.1	33%
Tyreek Hill (1)	KC/10	5.1	-0.557142857142857	3/7/15	3.1	0.8	0.1	31%
Terrelle Pryor (1)	WAS/5	3.10	-0.414285714285714	2/7/15	2.8	0.9	-0.1	29%
Davante Adams (2)	GB/8	3.10	0.135714285714286	5/9/15	2.7	0.8	-0.0	28%
Julian Edelman (2)	NE/9	5.4	-0.657142857142857	2/3/15	2.7	0.6	0.1	26%
Emmanuel Sanders (2)	DEN/5	5.1	0.207142857142857	4/5/15	2.6	0.9	0.2	24%
Kelvin Benjamin (1)	CAR/11	6.3	-0.8	2/5/15	2.6	0.6	0.1	23%
Stefon Diggs (1)	MIN/9	5.7	-0.671428571428571	4/5/13	2.6	0.6	-0.2	21%
Willie Snead (2)	NO/5	5.13	-0.285714285714286	2/4/14	2.4	0.6	0.1	19%
Sammy Watkins (1)	LAR/8	4.8	-0.857142857142857	1/2/7	2.3	0.8	0.3	18%
Martavis Bryant (2)	PIT/9	5.8	-0.8	0/0/0	2.3	0.8	0.0	16%
Jamison Crowder (2)	WAS/5	5.8	0	2/8/15	2.1	0.5	0.3	15%
Pierre Garcon (1)	SF/11	6.10	-0.228571428571429	1/5/15	2.0	0.8	-0.1	14%
Brandon Marshall (2)	NYG/8	6.5	-0.421428571428572	2/4/15	1.9	0.7	-0.3	12%
Randall Cobb (3)	GB/8	8.5	-0.0214285714285712	2/3/13	1.6	0.9	0.1	11%
Donte Moncrief (2)	IND/11	6.5	0.0571428571428569	1/5/9	1.6	0.6	-0.2	10%
Jeremy Maclin (2)	BAL/10	7.4	0.15	0/2/11	1.5	0.8	-0.0	9%
DeSean Jackson (2)	TB/11	7.1	0.5	3/7/14	1.5	0.7	0.2	9%
DeVante Parker (2)	MIA/11	7.13	-0.392857142857143	2/5/14	1.4	0.7	-0.1	8%
Cameron Meredith (1)	CHI/9	7.9	0.0428571428571424	5/5/13	1.3	1.0	0.1	7%
Eric Decker (3)	TEN/8	7.8	0.357142857142857	1/1/3	1.3	0.7	-0.2	6%
Tyrell Williams (2)	LAC/9	8.1	0	4/8/15	1.2	1.4	0.4	5%
Mike Wallace (1)	BAL/10	9.1	0.464285714285714	4/6/15	1.2	0.5	-0.2	4%
Kenny Britt (2)	CLE/9	8.4	0.735714285714286	1/6/15	1.2	0.7	-0.0	4%
Adam Thielen (2)	MIN/9	9.1	-0.285714285714286	3/5/15	1.1	0.8	-0.0	3%
John Brown (2)	ARI/8	8.6	0.171428571428572	2/3/13	1.1	0.7	0.0	2%
Jordan Matthews (1)	BUF/6	8.8	1.03571428571429	2/4/14	0.8	0.9	0.2	2%
Marvin Jones (2)	DET/7	10.2	-0.214285714285714	1/4/14	0.8	0.6	0.1	1%
Corey Coleman (1)	CLE/9	9.2	-0.471428571428571	1/1/9	0.7	0.7	-0.1	1%
Rishard Matthews (2)	TEN/8	9.6	0.771428571428571	2/7/15	0.4	1.2	0.2	0%
Robby Anderson (1)	NYJ/11	12.8	0.814285714285715	1/3/13	0.3	1.0	-0.2	0%
Ted Ginn (3)	NO/5	11.3	0.878571428571429	2/4/15	0.3	0.9	-0.2	0%
Cole Beasley (2)	DAL/6	12.9	-0.435714285714285	2/5/15	0.0	0.8	-0.0	0%
Corey Davis (1)	TEN/8	9.11	-0.55	0/0/0	-0.1	0.8	0.2	0%
Sterling Shepard (3)	NYG/8	11.5	-0.178571428571429	0/7/15	-0.2	0.7	0.2	0%
Allen Hurns (3)	JAX/8	13.13	1.46428571428571	1/2/11	-0.4	0.8	0.3	0%
Kenny Stills (3)	MIA/11	12.7	1.55714285714286	2/4/15	-0.5	0.9	-0.1	0%
Mohamed Sanu (3)	ATL/5	14.10	-0.435714285714285	2/3/14	-0.7	0.8	-0.2	0%
Tyler Lockett (2)	SEA/6	12.1	0.421428571428572	2/2/15	-0.8	0.6	0.2	0%
Breshad Perriman (3)	BAL/10	12.6	1.08571428571428	0/2/14	-0.8	0.8	0.2	0%
Josh Doctson (3)	WAS/5	11.11		0/0/2	-0.9		0.2	0%
Taylor Gabriel (2)	ATL/5	13.9		2/6/12	-0.9		0.0	0%
Kevin White (2)	CHI/9	11.13		0/0/4	-1.0		0.0	0%
Marqise Lee (2)	JAX/8	12.9		0/5/15	-1.0		0.3	0%
Devin Funchess (3)	CAR/11	14.9		0/1/14	-1.3		0.2	0%
Anquan Boldin (3)	BUF/6	13.11		1/5/15	-1.4		0.1	0%
JJ Nelson (3)	ARI/8	14.3		2/4/13	-1.4		-0.0	0%
Robert Woods (3)	LAR/8	12.13		1/3/12	-1.8		0.1	0%
Tavon Austin (2)	LAR/8	15.2		2/5/14	-1.8		-0.1	0%
Zay Jones (2)	BUF/6	12.4		0/0/0	-1.8		-0.2	0%
Terrance Williams (3)	DAL/6	17.5		1/3/14	-1.8		-0.0	0%
ArDarius Stewart (3)	NYJ/11	17.1		0/0/0	-1.8		0.2	0%
Chris Conley (2)	KC/10	15.9		0/0/15	-1.9		0.1	0%
Torrey Smith (3)	PHI/10	16.3		1/2/12	-2.0		0.2	0%
Brandon LaFell (2)	CIN/6	16.7		3/5/15	-2.0		-0.1	0%
John Ross (3)	CIN/6	13.7		0/0/0	-2.1		0.1	0%
Nelson Agholor (2)	PHI/10	14.7		0/1/14	-2.2		0.3	0%
Kenny Golladay (3)	DET/7	14.9		0/0/0	-2.5		-0.3	0%
